"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"1","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","A l'heure",0,"","14 décembre "
"2","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","A l'heure",0,"","14 décembre "
"3","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","A l'heure",0,"","14 décembre "
"4","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","A l'heure",0,"","14 décembre "
"5","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","14 décembre "
"6","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","A l'heure",0,"","14 décembre "
"7","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","A l'heure",0,"","14 décembre "
"8","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","A l'heure",0,"","14 décembre "
"9","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","A l'heure",0,"","14 décembre "
"10","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","A l'heure",0,"","14 décembre "
"11","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","A l'heure",0,"","14 décembre "
"12","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","A l'heure",0,"","14 décembre "
"13","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","14 décembre "
"14","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","A l'heure",0,"","14 décembre "
"15","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","A l'heure",0,"","14 décembre "
"16","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","14 décembre "
"17","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","14 décembre "
"18","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","14 décembre "
"19","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","14 décembre "
"20","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","14 décembre "
"21","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","A l'heure",0,"","14 décembre "
"22","LE HAVRE","PARIS-ST-LAZARE","15h03","17h20","A l'heure",0,"","14 décembre "
"23","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","16h09","17h51","A l'heure",0,"","14 décembre "
"24","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","17h09","18h49","A l'heure",0,"","14 décembre "
"25","LE HAVRE","PARIS-ST-LAZARE","17h03","19h20","A l'heure",0,"","14 décembre "
"26","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","18h09","19h49","A l'heure",0,"","14 décembre "
"27","LE HAVRE","PARIS-ST-LAZARE","18h01","20h23","A l'heure",0,"","14 décembre "
"28","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","19h13","20h49","A l'heure",0,"","14 décembre "
"29","LE HAVRE","PARIS-ST-LAZARE","19h02","21h20","A l'heure",0,"","14 décembre "
"30","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","20h09","21h50","A l'heure",0,"","14 décembre "
"31","LE HAVRE","PARIS-ST-LAZARE","20h03","22h23","A l'heure",0,"","14 décembre "
"32","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","05h46","07h20","A l'heure",0,"","14 décembre "
"33","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","06h09","07h48","A l'heure",0,"","14 décembre "
"34","PARIS-ST-LAZARE","LE HAVRE","06h40","08h48","A l'heure",0,"","14 décembre "
"35","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","07h12","08h48","A l'heure",0,"","14 décembre "
"36","PARIS-ST-LAZARE","LE HAVRE","07h40","09h58","A l'heure",0,"","14 décembre "
"37","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","08h14","09h46","A l'heure",0,"","14 décembre "
"38","PARIS-ST-LAZARE","LE HAVRE","08h40","10h58","A l'heure",0,"","14 décembre "
"39","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","10h11","11h44","A l'heure",0,"","14 décembre "
"40","PARIS-ST-LAZARE","LE HAVRE","10h40","12h58","A l'heure",0,"","14 décembre "
"41","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","12h12","13h50","A l'heure",0,"","14 décembre "
"42","PARIS-ST-LAZARE","LE HAVRE","12h39","14h58","A l'heure",0,"","14 décembre "
"43","PARIS-ST-LAZARE","LE HAVRE","13h40","15h48","A l'heure",0,"","14 décembre "
"44","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","14h12","15h41","A l'heure",0,"","14 décembre "
"45","PARIS-ST-LAZARE","LE HAVRE","14h40","16h58","A l'heure",0,"","14 décembre "
