"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"1","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","Supprimé",0,"","24 avril 2024 "
"2","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","A l'heure",0,"","24 avril 2024 "
"3","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","A l'heure",0,"","24 avril 2024 "
"4","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","A l'heure",0,"","24 avril 2024 "
"5","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","Non",14,"","24 avril 2024 "
"6","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","Non",13,"","24 avril 2024 "
"7","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","Non",13,"","24 avril 2024 "
"8","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","Non",16,"","24 avril 2024 "
"9","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","Non",15,"","24 avril 2024 "
"10","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","Supprimé",0,"","24 avril 2024 "
"11","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","A l'heure",0,"","24 avril 2024 "
"12","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","A l'heure",0,"","24 avril 2024 "
"13","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","24 avril 2024 "
"14","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","A l'heure",0,"","24 avril 2024 "
"15","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","A l'heure",0,"","24 avril 2024 "
"16","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","24 avril 2024 "
"17","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","24 avril 2024 "
"18","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","24 avril 2024 "
"19","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","24 avril 2024 "
"20","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","24 avril 2024 "
"21","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","A l'heure",0,"","24 avril 2024 "
"22","LE HAVRE","PARIS-ST-LAZARE","15h03","17h20","A l'heure",0,"","24 avril 2024 "
"23","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","16h09","17h51","A l'heure",0,"","24 avril 2024 "
"24","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","17h09","18h49","A l'heure",0,"","24 avril 2024 "
"25","LE HAVRE","PARIS-ST-LAZARE","17h03","19h20","A l'heure",0,"","24 avril 2024 "
"26","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","18h09","19h49","A l'heure",0,"","24 avril 2024 "
"27","LE HAVRE","PARIS-ST-LAZARE","18h01","20h25","A l'heure",0,"","24 avril 2024 "
"28","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","19h13","20h49","A l'heure",0,"","24 avril 2024 "
"29","LE HAVRE","PARIS-ST-LAZARE","19h02","21h20","A l'heure",0,"","24 avril 2024 "
"30","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","20h09","21h50","A l'heure",0,"","24 avril 2024 "
"31","LE HAVRE","PARIS-ST-LAZARE","20h03","22h23","A l'heure",0,"","24 avril 2024 "
"32","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","05h46","07h20","Supprimé",0,"","24 avril 2024 "
"33","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","06h09","07h48","Non",73,"","24 avril 2024 "
"34","PARIS-ST-LAZARE","LE HAVRE","06h40","08h48","A l'heure",0,"","24 avril 2024 "
"35","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","07h12","08h48","Supprimé",0,"","24 avril 2024 "
"36","PARIS-ST-LAZARE","LE HAVRE","07h40","09h58","A l'heure",0,"","24 avril 2024 "
"37","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","08h14","09h46","A l'heure",0,"","24 avril 2024 "
"38","PARIS-ST-LAZARE","LE HAVRE","08h40","10h58","A l'heure",0,"","24 avril 2024 "
"39","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","10h11","11h44","A l'heure",0,"","24 avril 2024 "
"40","PARIS-ST-LAZARE","LE HAVRE","10h40","12h58","A l'heure",0,"","24 avril 2024 "
"41","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","12h12","13h50","A l'heure",0,"","24 avril 2024 "
"42","PARIS-ST-LAZARE","LE HAVRE","12h39","14h58","A l'heure",0,"","24 avril 2024 "
"43","PARIS-ST-LAZARE","LE HAVRE","13h40","15h48","A l'heure",0,"","24 avril 2024 "
"44","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","14h12","15h41","A l'heure",0,"","24 avril 2024 "
"45","PARIS-ST-LAZARE","LE HAVRE","14h40","16h58","A l'heure",0,"","24 avril 2024 "
"46","PARIS-ST-LAZARE","LE HAVRE","15h40","17h58","A l'heure",0,"","24 avril 2024 "
"47","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h11","17h47","A l'heure",0,"","24 avril 2024 "
"48","PARIS-ST-LAZARE","LE HAVRE","16h40","18h58","A l'heure",0,"","24 avril 2024 "
"49","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h50","18h31","A l'heure",0,"","24 avril 2024 "
