"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"1","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","A l'heure",0,"","06 juin 2024 R"
"2","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","A l'heure",0,"","06 juin 2024 R"
"3","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","A l'heure",0,"","06 juin 2024 R"
"4","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","A l'heure",0,"","06 juin 2024 R"
"5","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","06 juin 2024 R"
"6","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","A l'heure",0,"","06 juin 2024 R"
"7","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","A l'heure",0,"","06 juin 2024 R"
"8","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","A l'heure",0,"","06 juin 2024 R"
"9","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","A l'heure",0,"","06 juin 2024 R"
"10","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","A l'heure",0,"","06 juin 2024 R"
"11","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","A l'heure",0,"","06 juin 2024 R"
"12","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h52","A l'heure",0,"","06 juin 2024 R"
"13","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","06 juin 2024 R"
"14","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","A l'heure",0,"","06 juin 2024 R"
"15","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","A l'heure",0,"","06 juin 2024 R"
"16","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","06 juin 2024 R"
"17","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","06 juin 2024 R"
"18","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","06 juin 2024 R"
"19","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","06 juin 2024 R"
"20","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","06 juin 2024 R"
"21","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","A l'heure",0,"","06 juin 2024 R"
